Award_ID,Function_Name,Status,Start_Time,Duration_Seconds,Error_Message
152,scrape152,Success,2026-02-05 14:19:58.232602,0.920509,
1606,scrape1606,Success,2026-02-05 14:19:59.178628,16.185847,
1607,scrape1607,Success,2026-02-05 14:20:15.402219,15.553236,
1628,scrape1628,Success,2026-02-05 14:20:31.075743,0.708507,
1750,scrape1750,Success,2026-02-05 14:20:31.809038,111.904984,
1758,scrape1758,Success,2026-02-05 14:22:23.751557,12.705824,
1776,scrape1776,Success,2026-02-05 14:22:36.491630,6.52482,
1809,scrape1809,Success,2026-02-05 14:22:43.043284,15320.167405,
1888,scrape1888,Failure,2026-02-05 18:38:03.245781,304.587292,"Message: timeout: Timed out receiving message from renderer: 297.419
  (Session info: chrome=144.0.7559.133)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x7ff7e1eef3d5
	0x7ff7e1eef430
	0x7ff7e1c910bd
	0x7ff7e1c7dda9
	0x7ff7e1c7da91
	0x7ff7e1c7b6c1
	0x7ff7e1c7bfff
	0x7ff7e1c8b45a
	0x7ff7e1ca2377
	0x7ff7e1ca9a7a
	0x7ff7e1c7c7c1
	0x7ff7e1ca20a4
	0x7ff7e1d3a082
	0x7ff7e1cdcb0c
	0x7ff7e1cdda53
	0x7ff7e21cb470
	0x7ff7e21c586d
	0x7ff7e21e621a
	0x7ff7e1f0b235
	0x7ff7e1f13a5c
	0x7ff7e1ef8844
	0x7ff7e1ef89f6
	0x7ff7e1edeb87
	0x7ff825e3e8d7
	0x7ff8269ec53c
"
1909,scrape1909,Failure,2026-02-05 18:43:07.871552,302.55147,"Message: stale element reference: stale element not found in the current frame
  (Session info: chrome=144.0.7559.133); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x7ff7e1eef3d5
	0x7ff7e1eef430
	0x7ff7e1c910bd
	0x7ff7e1c99021
	0x7ff7e1c9c4de
	0x7ff7e1d3b0ed
	0x7ff7e1d1589a
	0x7ff7e1d39d08
	0x7ff7e1cdcb0c
	0x7ff7e1cdda53
	0x7ff7e21cb470
	0x7ff7e21c586d
	0x7ff7e21e621a
	0x7ff7e1f0b235
	0x7ff7e1f13a5c
	0x7ff7e1ef8844
	0x7ff7e1ef89f6
	0x7ff7e1edeb87
	0x7ff825e3e8d7
	0x7ff8269ec53c
"
1920,scrape1920,Success,2026-02-05 18:48:10.452264,1.332277,
1932,scrape1932,Success,2026-02-05 18:48:11.809116,24.245093,
1933,scrape1933,Success,2026-02-05 18:48:36.081264,78.341578,
1934,scrape1934,Success,2026-02-05 18:49:54.457450,70.764582,
1935,scrape1935,Success,2026-02-05 18:51:05.259340,55.435308,
1940,scrape1940,Success,2026-02-05 18:52:00.733442,12.980733,
1972,scrape1972,Success,2026-02-05 18:52:13.756552,0.693433,
1977,scrape1977,Success,2026-02-05 18:52:14.476606,0.549373,
1984,scrape1984,Success,2026-02-05 18:52:15.056378,0.868787,
2003,scrape2003,Success,2026-02-05 18:52:15.983814,27.418101,
2004,scrape2004,Success,2026-02-05 18:52:43.452440,11.401707,
2005,scrape2005,Success,2026-02-05 18:52:54.888321,34.605784,
2006,scrape2006,Success,2026-02-05 18:53:29.532084,18.74102,
2007,scrape2007,Success,2026-02-05 18:53:48.313247,1.128997,
2008,scrape2008,Success,2026-02-05 18:53:49.474712,0.935335,
2009,scrape2009,Success,2026-02-05 18:53:50.446405,0.346851,
2010,scrape2010,Success,2026-02-05 18:53:50.819457,0.885161,
2012,scrape2012,Success,2026-02-05 18:53:51.731824,0.887784,
2014,scrape2014,Success,2026-02-05 18:53:52.676536,0.330387,
2015,scrape2015,Success,2026-02-05 18:53:53.040750,9.400762,
2017,scrape2017,Success,2026-02-05 18:54:02.479095,0.317862,
2018,scrape2018,Success,2026-02-05 18:54:02.844456,0.969725,
2019,scrape2019,Success,2026-02-05 18:54:03.846088,0.331955,
2020,scrape2020,Success,2026-02-05 18:54:04.207029,0.88036,
2021,scrape2021,Success,2026-02-05 18:54:05.135390,0.352204,
2022,scrape2022,Success,2026-02-05 18:54:05.514654,0.319981,
2023,scrape2023,Success,2026-02-05 18:54:05.863136,1325.453265,
2025,scrape2025,Success,2026-02-05 19:16:11.351351,0.944217,
2026,scrape2026,Success,2026-02-05 19:16:12.329604,0.0,
2027,scrape2027,Success,2026-02-05 19:16:12.355107,0.901434,
2028,scrape2028,Success,2026-02-05 19:16:13.292012,0.914554,
2029,scrape2029,Success,2026-02-05 19:16:14.235931,10.292838,
203,scrape203,Success,2026-02-05 19:16:24.640297,0.887617,
2030,scrape2030,Success,2026-02-05 19:16:25.552632,0.0,
2031,scrape2031,Success,2026-02-05 19:16:25.576717,0.862796,
2032,scrape2032,Success,2026-02-05 19:16:26.489383,0.384644,
2033,scrape2033,Success,2026-02-05 19:16:26.907190,0.912851,
2034,scrape2034,Success,2026-02-05 19:16:27.845236,0.326126,
2035,scrape2035,Success,2026-02-05 19:16:28.201038,0.333469,
2036,scrape2036,Success,2026-02-05 19:16:28.560606,0.953058,
2037,scrape2037,Success,2026-02-05 19:16:29.559823,0.370591,
2092,scrape2092,Success,2026-02-05 19:16:29.956521,2483.823824,
2094,scrape2094,Success,2026-02-05 19:57:53.815332,1515.080914,
2095,scrape2095,Success,2026-02-05 20:23:08.935984,1699.166248,
2096,scrape2096,Success,2026-02-05 20:51:28.136244,726.568196,
2129,scrape2129,Success,2026-02-05 21:03:34.735142,44.024778,
2134,scrape2134,Success,2026-02-05 21:04:18.797711,28.031004,
2138,scrape2138,Success,2026-02-05 21:04:46.926973,43.251304,
2157,scrape2157,Success,2026-02-05 21:05:30.214280,1.531908,
21775,scrape21775,Success,2026-02-05 21:05:31.777194,25.8966,
21776,scrape21776,Success,2026-02-05 21:05:57.725708,49.525276,
2230,scrape2230,Success,2026-02-05 21:06:47.283907,62.058365,
2231,scrape2231,Success,2026-02-05 21:07:49.374863,60.581172,
2232,scrape2232,Success,2026-02-05 21:08:49.996282,61.31163,
2233,scrape2233,Success,2026-02-05 21:09:51.340466,62.254839,
2234,scrape2234,Success,2026-02-05 21:10:53.629724,61.4225,
2235,scrape2235,Success,2026-02-05 21:11:55.089273,61.82581,
2270,scrape2270,Failure,2026-02-05 21:12:56.948026,21.883122,"Message: 
"
